Serial ID,Sentence,x,y
1001-0,"Will the Six-Party talks (among the US, North Korea, South Korea, Russia, China, and Japan) formally resume in 2011?",5.16756,21.1024
1002-0,Who will be inaugurated as President of Russia in 2012?,-0.736591,-0.581636
1003-0,Will Serbia be officially granted EU candidacy by 31 December 2011?,-11.5021,-0.980264
1004-0,Will the United Nations General Assembly recognize a Palestinian state by 30 September 2011?,-15.3805,0.817579
1005-0,Will Daniel Ortega win another term as President of Nicaragua during the late 2011 elections?,-18.5706,-6.31789
1006-0,Will Italy restructure or default on its debt by 31 December 2011?,-7.02785,-2.20738
1007-0,Will there be a lethal confrontation involving government forces in the South China Sea or East China Sea by 31 December 2011?,29.0071,-1.34851
1008-0,"By 31 December 2011, will the World Trade Organization General Council or Ministerial Conference approve the 'accession package' for WTO membership for Russia?",13.8761,-18.2873
1009-0,By 1 January 2012 will the Iraqi government sign a security agreement that allows US troops to remain in Iraq?,3.57351,-0.104658
1010-0,"Will the 30 Sept 2011 ""last"" PPB for Nov 2011 Brent Crude oil futures* exceed $115?",-13.95,-22.7315
1011-0,"Will the Nikkei 225 index finish trading at or above 9,500 on 30 September 2011?",-12.5841,-22.2223
1012-0,"Will Italy's Silvio Berlusconi resign, lose re-election/confidence vote, OR otherwise vacate office before 1 October 2011?",-21.4927,23.3548
1013-0,Will the London Gold Market Fixing price of gold (USD per ounce) exceed $1850 on 30 September 2011 (10am ET)?,-13.7629,-21.6147
1014-0,"Who will win the September 2011 Guatemalan presidential election, or will a run-off be needed?",-22.7009,-4.65061
1015-0,Will Israel's ambassador be formally invited to return to Turkey by 30 September 2011?,1.2394,11.5655
1016-0,Will PM Donald Tusk's Civic Platform Party win more seats than any other party in the October 2011 Polish parliamentary elections?,-21.1849,0.473768
1017-0,Will Robert Mugabe cease to be President of Zimbabwe by 30 September 2011?,-12.3317,-9.57939
1018-0,Will Muqtada al-Sadr formally withdraw support for the current Iraqi government of Nouri al-Maliki by 30 September 2011?,2.72451,15.3201
1019-0,Will Ali Abdullah Saleh cease to be Yemen's head of government by 30 September 2011?,1.40301,-0.853628
1020-0,Will peace talks between Israel and Palestine formally resume at some point between 3 October 2011 and 1 November 2011?,2.39397,16.8326
1021-0,Will the expansion of the European bailout fund be ratified by all 17 Eurozone nations before 1 November 2011?,11.8224,-17.2694
1022-0,Will the South African government grant the Dalai Lama a visa before 7 October 2011?,5.12376,15.0689
1023-0,Will former Ukrainian Prime Minister Yulia Tymoshenko be found guilty on any charges in a Ukrainian court before 1 November 2011?,-19.3967,17.0066
1024-0,Will Abdoulaye Wade win re-election as President of Senegal?,-22.4425,-6.35471
1025-0,"Will the Freedom and Justice Party win at least 20 percent of the seats in the first People's Assembly (Majlis al-Sha'b) election in post-Mubarak 
?",-18.4384,1.0212
1026-0,Will Joseph Kabila remain president of the Democratic Republic of the Congo through 31 January 2012?,-14.8895,-6.31226
1027-0,Who will win the January 2012 Taiwan Presidential election?,-23.8908,-4.53328
1028-0,Will Moody's issue a new downgrade of the sovereign debt rating of the Government of Greece between 3 October 2011 and 30 November 2011?,-7.67578,-3.87547
1029-0,Will any of the 20 jailed Bahraini medical workers be released by 1 November 2011?,-0.888366,-11.786
1030-0,Will the UN Security Council pass a measure/resolution concerning Syria in October 2011?,18.8857,-8.85796
1031-0,Will the U.S. Congress pass a joint resolution of disapproval in October 2011 concerning the proposed $5+ billion F-16 fleet upgrade deal with Taiwan?,16.1115,-8.52346
1032-0,Will the Japanese government formally announce the decision to buy at least 40 new jet fighters by 30 November 2011?,1.15941,16.1198
1033-0,Will the Tunisian Ennahda party officially announce the formation of an interim coalition government by 15 November 2011?,11.5882,-7.75378
1034-0,Will Japan officially become a member of the Trans-Pacific Partnership before 1 March 2012?,11.6709,-18.878
1035-0,Will the United Nations Security Council pass a new resolution concerning Iran by 1 April 2012?,18.2427,-9.08963
1036-0,Will media reports indicate that Iraq has experienced a military coup (or attempted coup) before 1 June 2012? ,4.20564,-8.04713
1037-0,Will Greece remain a member of the EU through 1 June 2012?,0.475282,-2.34773
1038-0,Will Hamad bin Isa al-Khalifa remain King of Bahrain through 31 January 2012?,-8.47109,8.21529
1039-0,Will Bashar al-Assad remain President of Syria through 31 January 2012?,-14.7612,-6.45035
1040-0,Will Aleksandr Lukashenko remain president of Belarus through 30 June 2012?,-14.7503,-6.56827
1041-0,"Will Italy's Silvio Berlusconi resign, lose re-election/confidence vote, OR otherwise vacate office before 1 January 2012?",-20.2455,23.0838
1042-0,Will Lucas Papademos be the next Prime Minister of Greece?,-18.6956,19.1861
1043-0,"Will Lucas Papademos resign, lose re-election/confidence vote, or vacate the office of Prime Minister of Greece before 1 March 2012?",-19.4206,21.9467
1044-0,Will the United Kingdom's Tehran embassy officially reopen by 29 February 2012?,-11.1648,1.71223
1045-0,Will a trial for Saif al-Islam Gaddafi begin in any venue by 31 March 2012?,7.93365,12.153
1046-0,Will Australia formally transfer Uranium to India by 1 June 2012?,9.86036,2.30959
1047-0,"Will a foreign or multinational military force fire on, invade, or enter Iran before 1 September 2012?",26.2237,10.5785
1048-0,Will S&P downgrade the AAA long-term credit rating of the European Financial Stability Facility (EFSF) by 30 March 2012?,-8.35613,-4.45829
1049-0,"Will Asif Ali Zardari resign, lose re-election/confidence vote, or vacate the office of President of Pakistan before 1 June 2012?",-20.9376,21.8577
1050-0,Will the next Palestinian general election commence by 1 June 2012?,-21.6503,-2.30919
1051-0,"Will Mario Monti resign, lose re-election/confidence vote, or vacate the office of Prime Minister of Italy before 1 January 2013? ",-20.6933,22.6559
1052-0,Will Aung San Suu Kyi be sworn in or seated as a member of Parliament in Myanmar (Burma) before 1 January 2013?,-2.7699,-7.9565
1053-0,"By 31 December 2012, will the UK officially announce its intention* to withdraw from the EU?",12.3957,-17.6353
1054-0,"Will a North Korean or multinational military force fire on, invade, or enter South Korea before 1 June 2012?",25.7,12.5158
1055-0,"Will North Korea successfully detonate a nuclear weapon, either atmospherically, underground, or underwater, between 9 January 2012 and 1 April 2012?",12.315,2.07879
1056-0,Will 1 Euro buy less than $1.20 US dollars at any point before 1 January 2013? ,-5.58231,-14.152
1057-0,Will the Russian military deploy* additional Iskander missiles before 1 February 2013?,25.1384,7.64791
1058-0,"By 1 April 2012, will Egypt officially announce its withdrawal from its 1979 peace treaty with Israel?",-4.07208,7.49386
1059-0,"Will Kim Jong-un attend an official, in-person meeting with any G8 head of government* before 1 April 2012?",2.59802,17.9014
1060-0,Will Christian Wulff resign or vacate the office of President of Germany before 1 April 2012?,-17.8873,20.6261
1061-0,Will Syria's Arab League membership be reinstated* by 31 December 2012?,9.22598,-11.0608
1062-0,Will the daily Europe Brent Crude FOB spot price per barrel be greater than or equal to $150 before 3 April 2012?,-10.7738,-22.6868
1063-0,Will the Taliban begin official* in-person negotiations with either the US or Afghan government by 1 April 2012?,3.39801,20.0011
1064-0,"Will Yousaf Raza Gillani resign, lose confidence vote, or vacate the office of Prime Minister of Pakistan before 1 April 2012?",-21.6756,21.764
1065-0,Will there be a significant* lethal confrontation involving government forces in the South China Sea or East China Sea between 23 January 2012 and 31 December 2012?,28.2224,-1.21943
1066-0,Will Yemen's next presidential election commence before 1 April 2012?,-20.2843,-3.29669
1067-0,"Will Traian Basescu resign, lose referendum vote, or vacate the office of President of Romania before 1 April 2012?",-18.8813,21.6012
1068-0,Will the UN Security Council pass a new measure/resolution directly concerning Syria between 23 January 2012 and 31 March 2012?,18.0087,-8.20414
1069-0,"Before 1 April 2012, will South Korea officially* announce a policy of reducing Iranian oil imports in 2012?",2.36402,12.4843
1070-0,Will Israel release Palestinian politician Aziz Duwaik from prison before 1 March 2012?,-17.8816,-4.14252
1071-0,Will Iran and the U.S. commence official nuclear program talks* before 1 April 2012?,4.93451,19.4517
1072-0,Will Serbia be officially granted EU candidacy before 1 April 2012?,-12.1436,-12.4541
1073-0,Will the IMF officially announce before 1 April 2012 that an agreement has been reached to lend Hungary an additional 15+ Billion Euros?,-2.86789,8.22965
1074-0,Will Libyan government forces regain control* of the city of Bani Walid before 6 February 2012?,30.3832,-2.4393
1075-0,Will a run-off be required in the 2012 Russian presidential election?,-21.8105,-4.62247
1076-0,Will the Iraqi government officially announce before 1 April 2012 that it has dropped all criminal charges against its VP Tareq al-Hashemi?,2.19719,9.5421
1077-0,Will Egypt officially announce by 15 February 2012 that it is lifting* its travel ban on Americans currently in Egypt?,-4.12426,8.16963
1078-0,Will a Japanese whaling ship enter Australia's territorial waters between 7 February 2012 and 10 April 2012?,28.4938,10.3511
1079-0,Who will win the 2012 Venezuela presidential primary for a unified opposition candidate to Hugo Chavez?,-23.7654,-4.34796
1080-0,Will the Republic of Macedonia* be a NATO member before 1 April 2013?,-0.148734,-2.23711
1081-0,Will the Nigerian government and Boko Haram commence official talks before 31 December 2012?,3.87375,22.5682
1082-0,Will William Ruto cease to be a candidate for President of Kenya before 10 April 2012?,-18.299,-7.01827
1083-0,Will Marine LePen cease to be a candidate for President of France before 10 April 2012?,-18.3813,-6.75821
1084-0,Who will win Venezuela's 2012 presidential election?,-25.4461,-4.29399
1085-0,"Between 21 February 2012 and 1 April 2012, will the UN Security Council announce any reduction of its peacekeeping force in Haiti?",25.4434,9.56228
1086-0,Will Mohamed Waheed Hussain Manik resign or otherwise vacate the office of President of Maldives before 10 April 2012?,-21.8294,20.9092
1087-0,Will Amr Moussa win the next Egyptian presidential election?,-25.4547,-3.85725
1088-0,Will Japan commence parliamentary elections before 1 April 2012?,-20.9973,2.37033
1089-0,"Will Iran  successfully detonate a nuclear device, either atmospherically, underground, or underwater before 1 January 2013?",13.2271,1.89194
1090-0,"Before 13 April 2012, will the Turkish government officially announce that the Turkish ambassador to France has been recalled?",-3.45327,7.83305
1091-0,Will Standard and Poor's downgrade Japan's Foreign Long Term credit rating at any point between 21 February 2012 and 1 April 2012?,-6.9481,-4.38309
1092-0,Will Myanmar release at least 100 more political prisoners between 21 February 2012 and 1 April 2012?,-0.499287,7.29206
1093-0,Will at least one Taliban representative be appointed to serve as a minister in the Afghan government before 1 January 2013?,1.15282,17.4613
1094-0,Will Zimbabwe commence a presidential election before 1 January 2013?,-19.9132,-3.6462
1095-0,Will there be a significant* outbreak of H5N1 in China in 2012?,26.7014,-0.119327
1096-0,Will a civil war break out in Syria between 21 February 2012 and 1 April 2012?,25.8715,8.98874
1097-0,Will Tunisia officially announce an extension of its current state of emergency before 1 April 2012?,1.94162,5.38025
1098-0,"Will a foreign or multinational military force fire on, invade, or enter Syria between 6 March 2012 and 31 December 2012?",27.2222,10.1158
1099-0,"Before 1 April 2012, will Al-Saadi Gaddafi be extradited to Libya?",-5.08321,6.89597
1100-0,Will the Colombian government and FARC commence official talks before 1 January 2013?,2.09747,19.7509
1101-0,Will Laurent Lamothe be ratified as Haiti's Prime Minister before 1 April 2012?,-21.09,23.3915
1102-0,Will Ireland ratify the European Fiscal Compact in a referendum vote before 1 October 2012?,-12.3685,1.93983
1103-0,"Before 1 April 2012, will the Sudan and South Sudan governments officially announce an agreement on oil transit fees?",1.38731,8.23346
1104-0,Will Yemeni government forces regain control of the towns of Jaar and Zinjibar from Al-Qaida in the Arabian Peninsula (AQAP) before 1 April 2012?,4.29297,0.528124
1105-0,Will Standard and Poor's downgrade the United Kingdom's Foreign Long Term credit rating at any point between 18 June 2012 and 1 April 2013?,-7.07652,-4.15618
1106-0,Will Kim Jong-un resign or otherwise vacate the office of Supreme Leader of North Korea before 1 April 2013?,-14.6475,22.9173
1107-6,When will an Egyptian Referendum vote approve a new constitution?,-9.56304,-4.09425
1108-6,When will Japan officially become a member of the Trans-Pacific Partnership?,11.4274,-18.8466
1109-0,Will any country officially announce its intention to withdraw* from the Eurozone before 1 April 2013?,10.9494,-13.9773
1110-6,"When will North Korea successfully detonate a nuclear device, either atmospherically, underground, or underwater?",14.7207,2.02823
1111-6,When will the UN announce that Iran has signed an official nuclear monitoring deal with the UN?,-0.705509,5.05986
1112-6,When will Bashar al-Assad resign or otherwise vacate the office of President of Syria?,-17.4647,22.2046
1113-6,When will Viktor Orban resign or otherwise vacate the office of Prime Minister of Hungary?,-22.0532,23.037
1114-0,Will Raja Pervez Ashraf resign or otherwise vacate the office of Prime Minister of Pakistan before 1 April 2013?,-22.1489,22.304
1115-0,Will the UN Security Council pass a new resolution before 1 April 2013 that supports military intervention* in Mali?,17.1042,-7.09423
1116-0,Will Libya commence legislative elections before 8 July 2012?,-18.4307,-1.03482
1117-0,Will Fayez al-Tarawneh resign or otherwise vacate the office of Prime Minister of Jordan before 1 January 2013?,-19.876,22.3068
1118-0,Who will win Sierra Leone's next Presidential election?,-26.1889,-4.58411
1119-6,When will Libya name a new prime minister? ,-16.0284,22.0643
1120-0,Will Spanish government generic 10-year bond yields equal or exceed 7% at any point before 1 September 2012?,-11.5815,-11.9297
